# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53565       0.00089325     0.00136879   2005         195     0.00117160     0.00003126      0   10984.00000000  3431.65625000     0.00000000
      53566       0.00599699     0.00179444   2005         196     0.00152579     0.00020989      0    5544.00000000  1764.12500000     0.00000000
      53567       0.00285811     0.00121861   2005         197     0.00103981     0.00010003      0   11304.00000000  3797.43750000     0.00000000
      53568      -0.00075827     0.00138402   2005         198     0.00118473    -0.00002654      0    9344.00000000  3124.00000000     0.00000000
      53569       0.00004995     0.00138234   2005         199     0.00118351     0.00000175      0    8448.00000000  2861.34375000     0.00000000
      53571       0.00380822     0.00087064   2005         201     0.00073662     0.00013329      0   24144.00000000  8895.53125000     0.00000000
      53572       0.00179255     0.00090999   2005         202     0.00077725     0.00006274      0   18728.00000000  7554.31250000   712.00000000
      53573      -0.00190247     0.00099785   2005         203     0.00085242    -0.00006659      0   15320.00000000  6212.62500000   704.00000000
      53574       0.00093971     0.00145792   2005         204     0.00124790     0.00003289      0    6536.00000000  2424.46875000     0.00000000
      53575       0.00049200     0.00135586   2005         205     0.00116074     0.00001722      0    6856.00000000  3140.18750000  1432.00000000
      53576       0.00159859     0.00166202   2005         206     0.00142215     0.00005595      0    3648.00000000  1646.75000000     0.00000000
      53577       0.00015888     0.00076169   2005         207     0.00065212     0.00000556      0   28200.00000000 11632.12500000   336.00000000
      53578      -0.00139815     0.00188613   2005         208     0.00161429    -0.00004894      0    3720.00000000  1543.84375000     0.00000000
      53579      -0.00529691     0.00295711   2005         209     0.00252679    -0.00018539      0    1360.00000000   584.25000000     0.00000000
      53580       0.00124244     0.00101605   2005         210     0.00086911     0.00004349      0   13504.00000000  5928.34375000   688.00000000
      53581       0.00208412     0.00095951   2005         211     0.00081912     0.00007294      0   12768.00000000  6623.03125000  1184.00000000
      53582       0.00143280     0.00096790   2005         212     0.00082757     0.00005015      0   12176.00000000  5929.50000000     0.00000000
      53583       0.00138742     0.00115095   2005         213     0.00098453     0.00004856      0    8456.00000000  4070.46875000   512.00000000
      53584       0.00074163     0.00062788   2005         214     0.00053711     0.00002596      0   13040.00000000  9951.71875000  1296.00000000
      53585       0.00345126     0.00214444   2005         215     0.00183308     0.00012079      0    1280.00000000  1156.50000000  1280.00000000
      53586       0.00076833     0.00241955   2005         216     0.00207140     0.00002689      0     664.00000000   640.00000000   664.00000000
      53587       0.00162647     0.00105416   2005         217     0.00090122     0.00005693      0    3792.00000000  3523.71878052   432.00000000
      53588       0.00099937     0.00191307   2005         218     0.00163763     0.00003498      0    1728.00000000  1237.68750000  1728.00000000
      53589      -0.00148908     0.00178846   2005         219     0.00153057    -0.00005212      0    2304.00000000  1628.12500000  2304.00000000
      53590       0.00138296     0.00211458   2005         220     0.00180995     0.00004840      0    2224.00000000  1298.21875000  2224.00000000
