# Observatory | Observation number | ObsID/mode | MJD | Exposure [sec] | Fitted band [keV] | Flux [0.5-10 keV; erg/s/cm^2] | Flux error [same units] | Nh [1e22 cm^-2] | Nh + error | Nh - error | kT [keV] | kT + error | kT - error | bbodyrad norm | bbodyrad norm + error | bbodyrad norm - error | power law index | power law index + error | power law index - error | power law norm [photons/keV/cm$^2$/s at 1 keV] | power law norm + error | power law norm - error | Reduced chi2 | Degrees of Freedom
Swift	27	00013945027/wt	59292.1	608.0	1-10	1.09e-09	2.12e-11	1.32e+00	2.45e-01	2.83e-01	1.47e+00	8.93e-02	6.24e-02	1.21e+01	2.08e+00	2.42e+00	2.07e+00	4.13e-01	5.49e-01	1.16e-01	3.54e-02	6.04e-02	1.04	730
Swift	28	00013945028/pc	59298.27	567.0	1-10	9.52e-10	4.72e-11	1.45e+00	3.05e-01	3.21e-01	3.03e-03	3.03e-03	3.03e-03	1.00e+24	1.00e+24	1.00e+24	1.28e+00	1.70e-01	1.73e-01	9.22e-02	2.04e-02	2.68e-02	0.67	380
Swift	29	00013945029/pc	59301.06	784.0	1-10	5.94e-10	3.73e-11	1.66e+00	3.92e-01	4.56e-01	1.21e+01	1.21e+01	1.21e+01	6.51e-04	4.16e-04	2.64e-01	1.57e+00	2.81e-01	3.68e-01	8.84e-02	8.72e-02	3.31e-02	0.81	397
Swift	30	00013945029/wt	59301.06	177.0	1-10	3.62e-10	1.39e-11	6.55e-01	2.53e-01	2.35e-01	1.05e+00	9.99e-02	1.10e-01	1.93e+01	6.63e+00	5.47e+00	-2.30e+00	2.30e+00	2.30e+00	3.30e-06	1.32e-06	1.07e-06	0.68	481
Swift	31	00013945030/pc	59304.45	777.0	1-10	3.15e-89	1.07e-80	1.48e+00	3.21e-01	3.37e-01	7.32e-03	7.32e-03	7.32e-03	1.95e+07	1.95e+07	1.95e+07	1.43e+00	1.83e-01	1.87e-01	2.71e-02	6.36e-03	8.50e-03	0.71	366
Swift	32	00013945030/wt	59304.45	15.0	1-10	5.97e-08	4.34e-08	4.07e-02	4.07e-02	5.66e+00	1.08e+00	1.08e+00	1.08e+00	1.70e+00	1.70e+00	2.94e+01	9.76e-01	9.76e-01	9.76e-01	2.16e-03	2.16e-03	4.47e+00	0.03	400
Swift	33	00013945031/pc	59307.3	789.0	2-10	3.15e-08	1.07e-08	2.34e+01	1.28e+01	6.65e+00	1.91e-01	8.03e-03	1.24e-01	1.79e+06	1.79e+06	3.04e+08	3.09e+00	8.64e-01	8.48e-01	5.95e-01	4.83e-01	2.31e+00	0.48	328
Swift	34	00013945032/pc	59310.43	762.0	1-10	3.76e-09	6.82e-10	3.54e+01	3.37e+01	3.13e+01	7.93e-02	2.75e-02	3.90e-02	7.53e+07	7.49e+07	3.09e+10	2.17e+00	3.61e-01	3.68e-01	3.89e-02	1.50e-02	2.93e-02	1.73	410
Swift	35	00013945033/pc	59313.28	20.0	1-10	3.10e-04	1.70e-02	1.30e+01	3.93e-01	5.91e+00	4.56e-02	1.79e-02	4.56e-02	1.00e+24	1.00e+24	1.00e+24	4.36e+00	1.32e+00	1.03e+00	1.03e+01	7.94e+00	3.48e+01	0.05	359
Swift	36	00013945033/wt	59313.28	5.0	1-10	3.23e-08	6.32e-08	5.78e-01	5.78e-01	1.37e+01	1.00e-01	1.00e-01	1.00e-01	9.88e+05	9.88e+05	9.88e+05	1.97e+00	3.60e+00	4.84e+00	1.04e-01	7.99e-02	2.05e+04	0.01	583
Swift	37	00013945034/pc	59316.33	877.0	2-10	1.19e-10	7.52e-12	4.04e+00	2.10e+00	2.17e+00	8.72e-03	8.72e-03	8.72e-03	1.00e+24	1.00e+24	1.00e+24	2.14e+00	4.40e-01	4.56e-01	5.45e-02	2.86e-02	6.23e-02	0.47	330
Swift	38	00013945035/pc	59319.17	437.0	2-10	1.40e-07	8.45e-08	2.57e+01	7.34e+00	6.33e+00	1.94e-01	1.57e-02	8.73e-02	5.35e+06	5.20e+06	8.08e+07	3.22e+00	8.65e-01	9.26e-01	8.70e-01	6.98e-01	3.81e+00	0.99	150
Swift	39	00013945037/pc	59326.15	954.0	1-10	5.23e-09	7.35e-10	2.42e+00	7.76e-01	9.25e-01	7.59e-02	1.95e-02	2.15e-02	1.39e+08	1.36e+08	1.70e+10	1.71e+00	2.87e-01	3.16e-01	2.06e-02	7.47e-03	1.29e-02	0.59	314
Swift	40	00035066077/pc	59162.31	2964.0	1-10	1.25e-08	1.86e-10	7.21e-01	1.34e-01	1.39e-01	5.29e-01	1.10e-01	1.24e-01	5.72e+02	3.06e+02	7.99e+02	4.01e-01	1.11e-01	8.80e-02	3.04e-01	5.65e-02	5.10e-02	1.03	811
Swift	41	00035066078/wt	59174.07	344.0	1-10	6.43e-08	6.42e-10	4.20e-01	1.46e-01	2.37e-01	2.89e-03	2.26e+00	2.41e+00	2.27e+02	2.55e+01	2.66e+01	1.29e+00	2.79e-01	3.21e-01	1.69e+00	3.32e-01	4.44e-01	1.36	863
Swift	42	00035066080/wt	59180.84	908.0	1-10	5.11e-08	2.61e-10	5.33e-01	1.30e-02	1.11e-01	6.51e-02	4.82e-02	5.41e-02	9.75e+08	9.74e+08	1.00e+24	4.46e-01	1.56e-02	1.62e-02	1.40e+00	3.46e-02	1.92e-02	1.16	891
Swift	43	00089186001/wt	59186.8	1380.0	1-10	3.06e-08	1.46e-10	6.77e-01	3.66e-02	4.18e-02	4.97e-01	7.31e-02	8.08e-02	4.41e+02	2.45e+02	4.20e+02	4.11e-01	2.23e-02	2.04e-02	7.80e-01	2.98e-02	2.79e-02	1.29	894
