# Observatory | Observation number | ObsID/mode | 0.5 - 10 keV flux [erg/s/cm^2] | Error | 1 - 10 keV flux | Error | 2 - 10 keV flux | Error
# All fluxes and errors in the same units as the 0.5-10 keV band
Swift	68	3200360192	2.00e-10	3.74e-12	1.97e-10	3.74e-12	1.84e-10	3.72e-12
Swift	69	3200360193	1.39e-10	2.17e-12	1.30e-10	2.24e-12	1.11e-10	2.22e-12
Swift	70	3200360194	3.44e-10	4.18e-12	3.39e-10	3.93e-12	3.19e-10	3.88e-12
Swift	71	3200360195	2.50e-10	2.85e-12	2.42e-10	2.85e-12	2.20e-10	2.84e-12
Swift	72	3200360196	6.96e-10	1.88e-12	6.65e-10	2.09e-12	5.91e-10	2.06e-12
Swift	73	3200360197	9.24e-10	4.85e-12	8.84e-10	4.91e-12	7.88e-10	4.89e-12
Swift	74	3200360198	9.65e-10	5.18e-12	9.24e-10	5.24e-12	8.24e-10	5.08e-12
Swift	75	3200360199	8.99e-10	4.61e-12	8.48e-10	4.78e-12	7.43e-10	4.40e-12
Swift	76	3200360201	1.00e-09	5.52e-12	9.59e-10	4.97e-12	8.47e-10	4.95e-12
Swift	77	3200360202	6.67e-10	6.05e-12	6.43e-10	5.78e-12	5.74e-10	5.77e-12
Swift	78	3200360203	4.67e-10	3.46e-12	4.53e-10	3.43e-12	4.05e-10	3.60e-12
Swift	79	3200360204	6.03e-10	8.10e-12	5.88e-10	7.94e-12	5.29e-10	7.89e-12
